Line_class_code;line_class_description
AAA2;AAA2 - CARBON STEEL
AAB2;AAB2 - CARBON STEEL
AAC2;AAC2 - CARBON STEEL
AAD2;AAD2 - CARBON STEEL
AAE2;AAE2 - CARBON STEEL
AAG2;AAG2 - CARBON STEEL
AAG5;AAG5 - CARBON STEEL
ADA2;ADA2 - DUPLEX S32760
AGA0;AGA0 - 316 SS
AGA1;AGA1 - 316/316L SS
AGB1;AGB1 - 316/316L SS
AGC1;AGC1 - 316/316L SS
AGC3;AGC3 - 316/316L SS
AGD1;AGD1 - 316/316L SS
AGD2;AGD2 - 316/316L SS
AGE1;AGE1 - 316/316L SS
AGE3;AGE3 - 316/316L SS DBL WALL
AGF1;AGF1 - 316/316L SS
AGK1;AGK1 - 316/316L SS
AHA1;AHA1 - HASTELLOY C276
AHB1;AHB1 - HASTELLOY C276
ANA1;ANA1 - ALLOY 59
ANB1;ANB1 - ALLOY 59
APA1;APA1 - TITANIUM
APA3;APA3 - TITANIUM
APB3;APB3 - TITANIUM
APM1;APM1 - TITANIUM
ATA0;ATA0 - 6MM RUBBER LINED CS
ATC0;ATC0 - PTFE LINED STEEL
ATE0;ATE0 - PP LINED STEEL
ATF0;ATF0 - PP LINED STEEL
ATG0;ATG0 - PP LINED STEEL
AWA1;AWA1 - FRP (2.8MM-CB)
AWB1;AWB1 - FRP (3.1MM-CB)
AWB2;AWB2 - FRP (5.6MM-CB)
AWB3;AWB3 - FRP (6.8MM-CB)
AWC3;AWC3 - FRP (6.8MM-CB)
AWG1;AWG1 - FRP (3.1MM-CB)
AWX1;AWX1 - FRP (2.8MM-CB)
AWY1;AWY1 - FRP (3.1MM-CB)
AWY2;AWY2 - FRP (5.6MM-CB)
AWY3;AWY3 - FRP (6.8MM-CB)
AXA0;AXA0 - CPVC
AXB0;AXB0 - PVC
AYA1;AYA1 - HDPE (SDR 6.3)
AYB0;AYB0 - HDPE (SDR 7.3)
AYC1;AYC1 - HDPE (SDR 9)
AYD0;AYD0 - HDPE(Pre-insulated)
AYE1;AYE1 - HDPE (SDR 11)
AYF0;AYF0 - HDPE (SDR17)
AYF1;AYF1 - HDPE (SDR 17)
AYG0;AYG0 - HDPE (SDR 21)
AYH0;AYH0 - HDPE (SDR 32.5)
AYS0;AYS0 - HDPE (SDR 21)
AYT0;AYT0 - HDPE (SDR 11)
AZA0;AZA0 - COPPER
CAE2;CAE2 - CARBON STEEL
CAE3;CAE3 - CARBON STEEL
CDG6;CDG6 - DUPLEX 2205
CGA1;CGA1 - 316/316L SS
CGB1;CGB1 - 316/316L SS
CGC3;CGC3 - 316/316L SS
CGD2;CGD2 - 316/316L SS
CGE3;CGE3 - 316/316L SS DBL WALL
CGM1;CGM1 - 316/316L SS
CHA1;CHA1 - HASTELLOY C276
CNA1;CNA1 - ALLOY 59
CNB1;CNB1 - ALLOY 59
CPA3;CPA3 - TITANIUM
CPB3;CPB3 - TITANIUM
CTA0;CTA0 - 6MM RUBBER LINED CS
CTC0;CTC0 - PTFE LINED STEEL
FDG6;FDG6 - DUPLEX 2205
GAC2;GAC2 - CARBON STEEL
GAG5;GAG5 - CARBON STEEL
HGA1;HGA1 - 316/316L SS
KAA2;KAA2 - CARBON STEEL COATED
KAB2;KAB2 - CARBON STEEL COATED
KRA0;KRA0 - DI Cement Lined
KRB0;KRB0 - DI Cement Lined
KXA0;KXA0 - PVC (SDR 35)
KYA0;KYA0 - HDPE (FM150)
KYB0;KYB0 - HDPE(SDR 7.3/DI FTG)
KYD0;KYD0 - HDPE(SDR 11)
