;;en;XX;
1;000;000 - GENERAL;000;
1;010;010 - GENERAL;010;
1;011;011 - GENERAL;011;
1;130;130;130;
1;131;131;131;
1;200;200;200;
1;210;210;210;
1;211;211 - CON or LIMESTONE STORAGE;211;
1;212;212 - CRUSH and GRIND or LIME KILN;212;
1;213;213 - WHARF or MARINE;213;
1;214;214 - PORT GENERAL;214;
1;220;220;220;
1;221;221 - PRESSURE LEACH and UTILITY;221;
1;222;222 - LRT or CCD;222;
1;223;223 - NEUTRALIZATION;223;
1;224;224 - SOLVENT EXTRACTION;224;
1;225;225;225;
1;226;226 - NI and CO EW;226;
1;227;227 - COPPER EW;227;
1;228;228 - WATER TREATMENT;228;
1;229;229 - PROCESS PLANT GENERAL;229;
1;231;231 - CADMIUM REMOVAL;231;
1;232;232;232;
1;233;233;233;
1;241;241 - OXYGEN PLANT;241;
1;242;242 - COOLING WATER;242;
1;243;243 - SEWAGE TREATMENT;243;
1;251;251 - PORT WAREHOUSE (EXISTING );251;
1;252;252 - PORT ADMINISTRATION;252;
1;253;253 - WHARF SECURITY KIOSK;253;
1;254;254 - MAIN SITE SECURITY;254;
1;260;260;260;
1;261;261 - ADMINISTRATION;261;
1;262;262 - CHANGE HOUSE;262;
1;263;263 - WAREHOUSE or WORKSHOP;263;
1;264;264 - CCR or LABORATORY;264;
1;271;271 - SANDY POND PUMPHOUSE;271;
1;272;272 - RATTLING BROOK PUMPHOUSE;272;
1;281;281 - EXTERNAL PIPERACKS PLANT;281;
1;282;282 - EXTERNAL PIPERACKS PORT;282;
1;311;311 - WATER SUPPLY PIPELINE;311;
1;312;312 - SANDY POND PIPELINE;312;
1;313;313 - PORT TO PLANT PIPELINE;313;
1;325;325;325;
1;411;411 - PORT SITE DEVELOPMENT;411;
1;412;412 - PLANT SITE DEVELOPMENT;412;
1;413;413 - OFFSITE DEVELOPMENT;413;
1;425;425;425;
1;500;500;500;
1;510;510;510;
1;511;511 - 230KV TRANSMISSION LINE;511;
1;512;512 - 230KV SUBSTATION;512;
1;521;521 - HIGH VOLTAGE POWER ROUTING;521;
1;531;531;531;
1;541;541;541;
1;800;800 - Integrated Management System;800;
1;801;801 - General Management;801;
1;802;802 - Engineering and Project Management;802;
1;803;803 - Reliability and Maintenance;803;
1;804;804 - Request For Action;804;
1;805;805 - Risk Management;805;
1;810;810 - Responsible Care Star Point;810;
1;811;811 - Emergency Response Planning  for (ERP and HAZMAT);811;
1;812;812 - IH;812;
1;813;813 - Safety;813;
1;814;814 - Environmental;814;
1;815;815 - SafeProduction;815;
1;817;817 - Monthy Safety Meeting;817;
1;818;818 - Emergency Response;818;
1;819;819 - Process Safety Management;819;
1;821;820 - SHEMS;821;
1;830;830 - Asset Care Star Point;830;
1;831;831 - Training and Progression;831;
1;850;850 - Personnel Star Point General;850;
1;851;851 - Time off with and without pay;851;
1;852;852 - Learning and Development;852;
1;853;853 - Communication;853;
1;854;854 - Workplace Behaviour;854;
1;855;855 - Pay Related Items;855;
1;870;870 - Process Star Point;870;
1;871;871 - Metals Accounting;871;
1;872;872 - KPI's or Dashboards or PI Tags;872;
1;873;873 - Sampling;873;
1;874;874 - Quality;874;
1;875;875 - SOPs;875;
1;876;876 - Operations Logs or Reports;876;
1;877;877 - Operations Routines;877;
1;878;878 - DCS.PCN;878;
1;879;879 - Production Planning;879;
1;880;880 - Continuous Improvement;880;
1;881;881 - Training or CBT;881;
1;882;882 - Research;882;
1;883;883;883;
1;890;890 - Ops Planning Star Point;890;
1;891;891 - Procurement;891;
1;892;892 - Cost Management;892;
1;893;893 - Document Management;893;
1;895;895 - Quality;895;
1;896;896 - Vendor Records (Uncontrolled);896;
1;897;897 - LHPP Records (Uncontrolled);897;
1;925;925;925;
