;;en;XX;
1;1;1 - Finance;1;
1;a;A - Architectural;A;
1;b;B - Concrete;B;
1;c;C - Civil  (Engineering);C;
1;d;D - Demolition;D;
1;e;E - Electrical  (Engineering);E;
1;f;F - Process (Engineering);F;
1;g;G - General (Multi Discipline);G;
1;h;H - Human Resources;H;
1;i;I - Business Systems and Engineering;I;
1;j;J - Instruments, Plant Control and Automation;J;
1;k;K - Training;K;
1;l;L - Environmental;L;
1;m;M - Mechanical  (Engineering);M;
1;n;N - Commissioning;N;
1;o;O - Operations;O;
1;p;P - Piping;P;
1;q;Q - Quality Assurance and Quality Control;Q;
1;r;R - Refractory;R;
1;s;S - Structural Steel;S;
1;t;T - IT;T;
1;u;U - Construction;U;
1;v;V - Technical Services;V;
1;w;W - Maintenance (General);W;
1;x;X - Health and Safety;X;
1;y;Y - Building (Site) Services;Y;
1;z;Z - Procurement;Z;
