;;en;Code;
1;AHP;AHP - HIGH PRESSURE;AHP;
1;ALP;ALP - LOW PRESSURE;ALP;
1;AVA;AVA - VACUUM ACIDIC;AVA;
1;AVN;AVN - VACUUM NEUTRAL;AVN;
1;GCP;GCP - CHLORINE PRESSURIZED;GCP;
1;GCV;GCV - CHLORINE VACUUM;GCV;
1;GFH;GFH - FLAMMABLE HYDROGEN;GFH;
1;GFP;GFP - FUEL PROPANE;GFP;
1;GHA;GHA - HYDROCHLORIC ACID;GHA;
1;GHS;GHS - HYDROGEN SULPHIDE;GHS;
1;GIA;GIA - INERT ARGON;GIA;
1;GIN;GIN - INERT NITROGEN;GIN;
1;GLA;GLA - LIQUIFIED ARGON;GLA;
1;GLN;GLN - LIQUIFIED NITROGEN;GLN;
1;GLO;GLO - LIQUIFIED OXYGEN;GLO;
1;GOH;GOH - OXYGEN HIGH PRESSURE;GOH;
1;GOL;GOL - OXYGEN LOW PRESSURE;GOL;
1;GSH;GSH - STEAM HIGH PRESSURE;GSH;
1;GSL;GSL - STEAM LOW PRESSURE;GSL;
1;LAA;LAA - ACIDIC;LAA;
1;LAC;LAC - ACIDIC CHLORIDES;LAC;
1;LCB;LCB - ACIDIC COBALT ELECTROLYTE SOLUTION;LCB;
1;LCP;LCP - ACIDIC COPPER ELECTROLYTE SOLUTION;LCP;
1;LDC;LDC - DISOLVED CHLORINE;LDC;
1;LHA;LHA - HYPOCHLORITE AQUEOUS;LHA;
1;LNC;LNC - NEUTRAL CHLORIDES;LNC;
1;LNN;LNN - NEUTRAL;LNN;
1;LOA;LOA - ORGANIC AQUEOUS;LOA;
1;LOO;LOO - ORGANIC;LOO;
1;LSC;LSC - SULPHATE CHLORINE OXYGEN;LSC;
1;LSO;LSO - SULPHATE OXYGEN;LSO;
1;OFD;OFD - FUEL DIESEL;OFD;
1;OFO;OFO - FUEL OIL;OFO;
1;OHY;OHY - HYDRAULIC;OHY;
1;OLU;OLU - LUBRICATION;OLU;
1;RB1;RB1 - AMINE;RB1;
1;RB2;RB2 - DISPERSANT;RB2;
1;RBA;RBA - BORIC ACID;RBA;
1;RBH;RBH - BARIUM HYDROXIDE;RBH;
1;RBS;RBS - BIOCIDES;RBS;
1;RCC;RCC - COAGULANT;RCC;
1;RCI;RCI - CORROSION INHIBITOR;RCI;
1;RDD;RDD - DILUENT;RDD;
1;RDF;RDF - DEFOAMING AGENT;RDF;
1;RDI;RDI - DIELECTRIC INK;RDI;
1;REE;REE - EXTRACTANT;REE;
1;RFF;RFF - FLOCCULANT;RFF;
1;RFO;RFO - FOAM CONCENTRATE;RFO;
1;RFP;RFP - FILTER PRE-COAT;RFP;
1;RGA;RGA - GRANULAR ACTIVATED CARBON / SPENT CARBON SLURRY;RGA;
1;RGG;RGG - GLYCOL;RGG;
1;RGU;RGU - GUAR;RGU;
